id,event_unique_id,occurrence_year,occurrence_date,occurrence_time,reported_year,reported_date,reported_time,division,location_type,age_bias,mental_or_physical_disability,race_bias,ethnicity_bias,language_bias,religion_bias,sexual_orientation_bias,gender_bias,multiple_bias,primary_offence,hood_158,neighbourhood_158,hood_140,neighbourhood_140,arrest_made,occurrence_month,primary_offence_simplified,division_area
826,GO-2022815139,2022,2022-04-29,0,2022,2022-05-02,1722,D22,Educational,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,160,Mimico-Queensway (160),017,Mimico (includes Humber Bay Shores) (17),NO,4,Property Crimes,Etobicoke
828,GO-2022820697,2022,2022-04-30,1500,2022,2022-05-03,730,D32,Educational,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,050,Newtonbrook East (50),050,Newtonbrook East (50),NO,4,Property Crimes,North York
829,GO-2022808810,2022,2022-05-01,1030,2022,2022-05-01,1335,D22,Educational,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,012,Markland Wood (12),012,Markland Wood (12),NO,5,Property Crimes,Etobicoke
830,GO-2022807321,2022,2022-05-01,626,2022,2022-05-01,626,D23,Public Spaces/Transportation,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,006,Kingsview Village-The Westway (6),006,Kingsview Village-The Westway (6),NO,5,Property Crimes,Etobicoke
831,GO-2022822665,2022,2022-05-03,839,2022,2022-05-14,625,D51,Public Spaces/Transportation,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),NO,5,Property Crimes,Toronto-East York
832,GO-2022861180,2022,2022-05-08,2130,2022,2022-05-08,2140,D31,Government/Public Buildings,NO,NO,None,None,None,Muslim,None,None,NO,Disturbing Religious Worship Or Certain Meetings,027,York University Heights (27),027,York University Heights (27),YES,5,Threats and Harassment,North York
833,GO-2022877834,2022,2022-05-11,614,2022,2022-05-11,614,D42,Public Spaces/Transportation,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,145,Malvern West (145),132,Malvern (132),NO,5,Property Crimes,Scarborough
834,GO-2022894232,2022,2022-05-12,1700,2022,2022-05-13,1528,D22,Educational,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,010,Princess-Rosethorn (10),010,Princess-Rosethorn (10),NO,5,Property Crimes,Etobicoke
835,GO-2022889066,2022,2022-05-12,1030,2022,2022-05-12,1539,D55,Educational,NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,068,North Riverdale (68),068,North Riverdale (68),NO,5,Property Crimes,Toronto-East York
836,GO-2022886125,2022,2022-05-12,744,2022,2022-05-16,1546,D14,Public Spaces/Transportation,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,095,Annex (95),095,Annex (95),NO,5,Property Crimes,Etobicoke-York
837,GO-2022895878,2022,2022-05-13,1414,2022,2022-05-13,1615,NSA,Commercial/Business,NO,NO,None,None,None,None,None,Transgender,NO,Assault,NSA,NSA,NSA,NSA,NO,5,Assault,Other
838,GO-2022896885,2022,2022-05-13,1625,2022,2022-05-13,1625,D32,Public Spaces/Transportation,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,036,Newtonbrook West (36),036,Newtonbrook West (36),NO,5,Property Crimes,North York
839,GO-2022973725,2022,2022-05-16,205,2022,2022-05-24,959,D53,Public Spaces/Transportation,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault,095,Annex (95),095,Annex (95),NO,5,Assault,Toronto-East York
840,GO-2022929403,2022,2022-05-17,1720,2022,2022-05-18,849,D22,Educational,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,012,Markland Wood (12),012,Markland Wood (12),NO,5,Property Crimes,Etobicoke
841,GO-2022930329,2022,2022-05-18,900,2022,2022-05-18,955,D33,Religious,NO,NO,None,None,None,None,2SLGBTQ+,None,NO,Mischief Under $5000,042,Banbury-Don Mills (42),042,Banbury-Don Mills (42),NO,5,Property Crimes,North York
842,GO-2022936734,2022,2022-05-18,1800,2022,2022-05-19,840,D22,Educational,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,012,Markland Wood (12),012,Markland Wood (12),NO,5,Property Crimes,Etobicoke
843,GO-2022941259,2022,2022-05-19,1810,2022,2022-05-19,1830,D52,Commercial/Business,NO,NO,None,None,None,None,Gay,None,NO,Assault,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),NO,5,Assault,Toronto-East York
844,GO-2022949224,2022,2022-05-20,2000,2022,2022-05-20,2000,D42,Public Spaces/Transportation,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,145,Malvern West (145),132,Malvern (132),NO,5,Property Crimes,Scarborough
845,GO-2022958627,2022,2022-05-21,2320,2022,2022-05-21,2328,D22,Public Spaces/Transportation,NO,NO,None,None,None,Muslim,None,None,NO,Mischief Interfere With Property,159,Etobicoke City Centre (159),014,Islington-City Centre West (14),NO,5,Property Crimes,Etobicoke
